担当教員,学籍番号,1,2,3,4,5, ,採点欄,備考欄,コピペ群,重複ワード,参考情報, ,NGワード数,NGワード一覧,再履修
森,22021337,自分にとって何が大切になるか分からないため、色んなものに目を光らせ、見過ごしてしまわないようにする,忙しいと自分のことで精一杯になり、周りに目がいかなくなることを自覚する,背景が違う人と話すことが対話であり、仕事で必要とされるものである,何事も今に繋がる礎として捉える、前向きな塞翁が馬の考え方を積極的に取り入れる,自分で新しい自分にリセットする方法を編み出し、負の方向に進み続けないように切り替えることが重要, , , ,,, , ,0,,再履修
森,22021348,前向きな人間万事塞翁が馬,心の余裕による仕事への良い影響,自分の成長,コミュニケーションの大切さ,大学や大学院において、自分の将来と向き合って悩み、今すべきことをできるだけやることの大切さ, , , ,,, , ,0,, 
森,22021394,人間万事塞翁が馬と捉える前向きな姿勢,忙しいとは心をなくす,自分の変化を自覚し客観的に捉える目,自分を知り相手を知る,真理はなんぢに自由を得さすべし, , , ,,, , ,0,, 
森,22021406,自分たちは情報を見逃しがちである。,身体よりも心の余裕のなさが仕事に影響する。,仕事で必要なのは対話である。,忙しいということは心をなくしているということ。,何かをやり遂げた人は諦めなかった人。, , , ,,, , ,0,, 
森,22021420,自ら厳しく、追い込むこと,自由があるからこそ厳しいことをする,就職して続かなかったとしても向いていなかったことを学べたのがいい,自分がどう思い考えるかは重要,客観的に自分を見ることができることが大切, , , ,,, , ,0,, 
森,22021466,自分から情報収集,商売は社会のためにならなければ続かない,前向きの塞翁が馬,色々な人と関わることで得られる学びがある,心を亡くした忙しい状態では物事はうまくいかないため心に余裕をもつ, , , ,,, , ,0,, 
森,22021471,忙しいと周りが見えなくなると自覚しているかしていないかで大きく違う,あまりクヨクヨしない。,会社に勤めると多くの人と対話が必要になる,大学からの情報発信に触れるのが大事,自分にとって必要な情報を振り分けることが必要, , , ,,, , ,0,, 
森,22021497,情報収集は重要,チャレンジを忘れない,学ぶ姿勢が重要である,経験をたくさん積む,社会に出て経験を積むことが重要, , , ,,, , ,0,,再履修
森,22021508,心の余裕,自分を知り、相手を知ることが大切,前向きな塞翁が馬,死ぬまで練達,気分転換の方法を持つ, , , ,,, , ,0,, 
森,22021526,プラスチックをなくそうとすると、フードロスという違う問題につながることがある,見逃しがちなところに自分の未来に必要な情報が埋もれている,体の余裕より、心の余裕を無くすと仕事が回らなくなる。自分の心のキャパシティを自覚する必要がある,仕事において大事なのは背景が違う人と話す対話である,一時的ではなく、仕組みとして回していくことで、商売は続いているということ, , , ,,, , ,0,, 
