"回答日時","受付番号","回答ユーザ","第3回:キーワード①","第3回:キーワード②","第3回:キーワード③","第3回:キーワード④","第3回:キーワード⑤"
"2022/10/10 16:32","3159","26021576","熱中しすぎずに俯瞰することも大事","学ぶ時に楽しむことがあると頑張れる","全く知らないものでも勉強すればなることが出来る","何にでも挑戦することが大切","楽しむことも大切"
"2022/10/10 16:32","3158","31020068","不満に感じることを人にしない","自分がやると決めたことを心から楽しむ","役に立ったという実感が自分の自信となる","他者のために知識を習得・活用できる人になる","物事を前向きに捉えることで可能性が広がる"
"2022/10/10 16:32","3157","23021086","自分で学費を払うために働く苦労","司法試験勉強を楽しいと思えるような勉強の仕方","やると決めたら楽しむ","第三者的な視点を持つ","人柄を見て判断をする"
"2022/10/10 16:31","3156","23021525","勉強が楽しい","知らないと怖いものはない","やると決めたら楽しむ","とにかく挑戦","できない経験"
"2022/10/10 16:31","3155","22019265","専門分野というのは自分の好きなことを宣言すること","知識がないと怖いものはない","マイペースに","やると決めたら楽しむ","来た波に乗る"
"2022/10/10 16:31","3154","25022510","自分で考え、自分で行動することは大切である。","やり切ることが大切。","社会では人との出会いが自分を助けてくれることもある。","この世の中は法律で回っている。","俯瞰的に物事を見る。"
"2022/10/10 16:31","3153","23021380","自分のやり方を貫くことは大事","挑戦することは大切","行動して自信をつけることは大切","自分が努力しないと得られるものはない","一つ一つを真剣に取り組むことは大事"
"2022/10/10 16:31","3152","24022313","挑戦","やると決めたら楽しむ","自分で考える 自分で動く","来た波に乗る","傾聴"
"2022/10/10 16:31","3151","26022359","専門分野とは自分の好きなものを宣言するということ。これをやっていくと宣言をしたら仕事と知識が増える","やると決めたら楽しむ。何か物事を実行するとなればそれを楽しむと決める","今自分で考えて自分で行動するとは未来の自分に繋がる。","お仕事は全て真剣に取り組み、誠心誠意相手に応える。周囲の信頼を得て自信につながる。それは実践となる。","今までの背景に繋がりがある好奇心を持って、現場に足を運び、経験に繋げる。一つ一つの行動に価値がある。"
"2022/10/10 16:30","3149","26020452","自分が努力しない限り得られるものは無い","マイペースが成功することに繋がった","やると決めたら楽しむ","来た波に乗る","チャレンジが何かに結び付く"
"2022/10/10 16:30","3148","26022397","やると決めたら楽しむ","自分の小ささを知ることが大人の始まり","傾聴の大切さ","実績、信頼、自信のキャリアの正のスパイラル","人との繋がりが仕事において大切、好奇心に従う"
"2022/10/10 16:29","3147","25020670","一度やると決めたら楽しむ","消極的な物事でも挑戦してみることで結果的に自信に繋がる","若いうちから自分で考えて行動する","機会やチャンスといった”波”がきたらそれに乗る","実績をあげて周囲からの信頼を得る"
"2022/10/10 16:29","3146","23021057","やると決めたら楽しむ","来た波には乗る","自分が努力しないと得られるものはない","仕事は一つ一つが真剣勝負","人の役に立つことの実感"
"2022/10/10 16:29","3145","29022285","やると決めたら楽しむ","丸投げ","重み","経験","出発点"
"2022/10/10 16:29","3144","25021100","やると決めたら楽しむ","仕事で大切なことは第三者の視点を見ること","分からないことをわかるようにすることが勉強である","自分がちっぽけと思うことがあるからこそ、依頼されたものは基本受ける","消費者側の経験を利用して、生産する側に回る"
"2022/10/10 16:29","3143","23020355","専門分野は自分の好きなものを選択する","やると決めたら楽しむ","自分で考えて行動する","弁護士は人の役に立てているということをダイレクトに実感できる","実績→信頼→自信を繰り返すことで自信をつけていく、またそれをやり切る力が大事"
"2022/10/10 16:26","3142","23020347","自分が未熟であることを自覚し、自分で考えて行動すること","やると決めたら楽しむ","人との繋がりで、自分のやりたいことなどがみえてくる","波が来たら乗ること","今の自分に満足せずに、高みを目指すことが大切"
"2022/10/10 16:26","3141","31020361","やると決めたら楽しむ！","自分のことがちっぽけな存在だと思うようになっても、若手からどんどんチャレンジしていける環境を与えられて仕事が楽しくなった","頂いた仕事＝来た波には乗れば、新しい何かが生まれるかもしれない","頂いた仕事に対して、どんな内容にも全力で取り組めば信頼され、自信へと繋がる","楽しんで仕事の勉強をできる力が必要"
"2022/10/10 16:26","3140","24021837","法曹的な視点でいえば、第三者的な視点をもたないといけない。","楽しみながら、やらないといけない。","勉強とは、わからないことをつぶす。","法律の仕事は想像を絶する忙しい一面を兼ね備えている。","独立は責任を伴う"
"2022/10/10 16:26","3139","26021572","裁判","司法試験","契約","役に立てること","波に乗る"
"2022/10/10 16:26","3138","23020316","自分がやると決めたことは楽しんでやること。","全部役にたてるということはないが、自分にもできるという実感があったこと。","正しい判断をするため、第三者的な視点で俯瞰的にみること。","ネットでたくさんのことを調べられる時代だが、好奇心を持って自分で足を運んでそれを経験にすること。","実績をあげることによって周囲の信頼を得て、自信につながる。そして、また実績につなげるループをつくる。"
"2022/10/10 16:25","3136","26022455","やろうと決めたことを成し遂げる力をつくること。","自分の位置や存在する理由を把握しておくこと。","波が来たら乗ること。","相手を大切にし、お互いに信頼をつくること。","集中すべきものを見つけること。"
"2022/10/10 16:25","3135","24021077","やると決めたらしんどいと思うより楽しむ","全部の役に立てなくても、自分が役に立っているということの嬉しさ","来た波に乗る","一つ一つの仕事を全て真剣勝負","負け試合だと思っていても五分五分ぐらいに近づける熱意"
"2022/10/10 16:24","3134","38021563","やると決めたら楽しむ","波が来たらのる","全て自分がやると決めていた","役に立った、ということが分かった","まだ伸びしろがある"
"2022/10/10 16:24","3133","31022361","目標に向けて努力すると決めたからには楽しむべき","大人になってちっぽけと感じることで大人になる","時代の流れと共に人々のやりたいことが増えている","目の前の仕事をこなす","実績を出す事で信頼を得ていく"
"2022/10/10 16:24","3132","26020134","やると決めたら楽しむ","嫌だと思うとできない","自分がちっぽけに感じると大人としてのスタート","経験は自信をつけてくれる","弁護士の魅力は人の役に立っていることが実感できる"
